City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
269,scottsbluff,41.8666,-103.6672,49.78,40,37,3.0,US,1650905833
270,manggar,-2.8833,108.2667,81.57,78,85,1.92,ID,1650905834
271,redcliffe,-27.2307,153.0973,67.89,52,75,6.91,AU,1650905834
272,ulaanbaatar,47.9077,106.8832,15.93,67,0,2.24,MN,1650905834
273,babstovo,48.1167,132.4833,38.41,94,100,16.67,RU,1650905835
274,flinders,-34.5833,150.8552,60.19,92,100,5.99,AU,1650905835
275,parana,-31.732,-60.5238,82.54,74,71,1.16,AR,1650905836
276,barcelos,41.5388,-8.6151,67.91,58,44,4.65,PT,1650905836
277,kodinsk,58.6881,99.1844,30.83,98,100,4.47,RU,1650905838
278,leningradskiy,69.3833,178.4167,2.66,96,81,6.06,RU,1650905838
279,maumere,-8.6199,122.2111,78.98,73,100,4.16,ID,1650905838
280,vao,-22.6667,167.4833,74.05,60,100,22.79,NC,1650905839
281,bambanglipuro,-7.95,110.2833,78.15,87,69,2.42,ID,1650905839
282,dois vizinhos,-25.7336,-53.0572,82.54,56,0,7.14,BR,1650905840
283,mhlume,-26.0333,31.85,69.64,95,97,6.06,SZ,1650905711
284,nalut,30.3333,10.85,86.86,7,7,19.1,LY,1650905840
285,spornoye,50.8448,37.2913,56.82,62,98,4.97,RU,1650905841
286,tondano,1.3038,124.9112,69.89,92,48,1.66,ID,1650905841
287,saint george,37.1041,-113.5841,64.44,19,0,1.99,US,1650905623
288,xinzhou,38.4092,112.7333,67.21,21,0,10.16,CN,1650905842
289,sirnak,37.5228,42.4594,56.16,70,91,4.68,TR,1650905842
290,cabra,37.4725,-4.4421,68.16,46,30,9.62,ES,1650905843
291,tura,25.5198,90.2201,75.07,53,0,5.7,IN,1650905843
292,stettler,52.3168,-112.7186,48.69,61,85,13.8,CA,1650905705
293,maarianhamina,60.0973,19.9348,48.06,49,0,8.05,AX,1650905844
294,daltenganj,24.0333,84.0667,86.72,12,0,5.77,IN,1650905844
295,svetlogorsk,52.6333,29.7333,54.16,83,76,1.32,BY,1650905845
296,zolotkovo,55.5281,41.1053,52.93,82,90,5.75,RU,1650905845
297,arman,59.7,150.1667,23.2,72,100,10.02,RU,1650905846
298,goderich,43.7501,-81.7165,55.72,71,99,2.3,CA,1650905846
299,vaitape,-16.5167,-151.75,80.53,73,66,4.34,PF,1650905847
300,bilma,18.6853,12.9164,102.97,7,0,9.64,NE,1650905847
301,dingle,10.9995,122.6711,78.48,89,32,7.0,PH,1650905847
302,carballo,43.213,-8.691,64.54,70,59,3.38,ES,1650905848
303,tiksi,71.6872,128.8694,-6.23,100,98,3.13,RU,1650905848
304,jutai,-5.1833,-68.9,85.42,76,91,2.35,BR,1650905848
305,breves,-1.6822,-50.4803,85.84,68,55,3.67,BR,1650905849
306,irtyshskiy,58.3333,68.1333,44.24,93,100,2.39,RU,1650905849
307,ariquemes,-9.9133,-63.0408,90.63,53,16,3.58,BR,1650905850
308,ankazoabo,-22.2833,44.5167,73.56,63,94,2.37,MG,1650905850
309,meulaboh,4.1363,96.1285,78.03,86,100,5.53,ID,1650905850
310,ambilobe,-13.2,49.05,74.97,82,48,4.97,MG,1650905851
311,kpandae,8.4689,-0.0113,90.54,47,46,12.15,GH,1650905851
312,kilindoni,-7.9139,39.6668,82.29,77,44,9.26,TZ,1650905852
313,umm kaddadah,13.6017,26.6876,89.76,10,44,6.06,SD,1650905852
314,hamilton,39.1834,-84.5333,73.18,85,100,8.01,US,1650905853
315,disna,55.568,28.1971,49.68,75,96,4.68,BY,1650905853
316,yumen,40.2833,97.2,54.3,15,48,19.42,CN,1650905854
317,weligama,5.9667,80.4167,79.47,86,94,1.92,LK,1650905854
318,jalu,29.0331,21.5482,88.79,9,85,8.75,LY,1650905854
319,saldanha,-33.0117,17.9442,62.65,76,0,18.16,ZA,1650905608
320,constitucion,-35.3333,-72.4167,56.25,79,100,7.27,CL,1650905732
321,alyangula,-13.8483,136.4192,75.07,100,75,0.0,AU,1650905855
322,sao domingos do maranhao,-5.5758,-44.3853,84.11,68,41,7.67,BR,1650905856
323,laguna,38.421,-121.4238,70.09,48,0,4.61,US,1650905856
324,tuatapere,-46.1333,167.6833,43.57,84,25,6.78,NZ,1650905857
325,urus-martan,43.1286,45.5431,59.92,68,1,4.0,RU,1650905857
326,zyryanka,65.75,150.85,9.9,96,91,9.6,RU,1650905859
327,natal,-5.795,-35.2094,88.02,62,20,16.11,BR,1650905860
328,petropavlovsk-kamchatskiy,53.0452,158.6483,30.79,80,75,0.0,RU,1650905635
329,broken hill,-31.95,141.4333,62.31,72,100,8.05,AU,1650905860
330,asfi,32.2994,-9.2372,63.9,64,47,15.64,MA,1650905861
331,gelibolu,40.4103,26.6708,62.01,71,40,5.03,TR,1650905571
332,wundanyi,-3.4019,38.364,66.18,82,100,6.17,KE,1650905861
333,snezhnogorsk,69.1933,33.2531,31.78,96,100,8.41,RU,1650905862
334,ahipara,-35.1667,173.1667,61.2,84,46,6.93,NZ,1650905862
335,kloulklubed,7.0419,134.2556,83.61,78,100,17.49,PW,1650905863
336,manaira,-7.7061,-38.1544,89.53,32,32,11.23,BR,1650905863
337,vila franca do campo,37.7167,-25.4333,61.21,66,4,12.5,PT,1650905864
338,luderitz,-26.6481,15.1594,62.28,58,0,19.04,NA,1650905864
339,semnan,35.5729,53.3971,80.44,18,0,4.61,IR,1650905864
340,tadine,-21.55,167.8833,72.7,71,98,17.87,NC,1650905865
341,toba,34.4833,136.85,68.09,92,100,1.01,JP,1650905865
342,turukhansk,65.8167,87.9833,3.42,95,62,5.86,RU,1650905866
343,san patricio,28.017,-97.5169,86.07,57,24,16.06,US,1650905866
344,gladstone,-23.85,151.25,66.13,88,75,11.5,AU,1650905867
345,tilichiki,60.4667,166.1,23.36,93,95,11.05,RU,1650905867
346,praia da vitoria,38.7333,-27.0667,64.65,68,20,14.32,PT,1650905867
347,carupano,10.6678,-63.2585,82.51,76,100,12.35,VE,1650905868
348,beloha,-25.1667,45.05,76.53,72,100,5.7,MG,1650905868
349,husavik,66.0449,-17.3389,43.66,74,82,3.83,IS,1650905869
350,manavalakurichi,8.1333,77.3,82.99,81,83,4.74,IN,1650905869
351,harlingen,26.1906,-97.6961,87.71,15,21,16.24,US,1650905869
352,plettenberg bay,-34.0527,23.3716,58.39,74,32,4.79,ZA,1650905870
353,tamworth,52.634,-1.6959,57.25,67,92,8.01,GB,1650905870
354,bubaque,11.2833,-15.8333,78.49,74,12,17.0,GW,1650905871
355,hualmay,-11.0964,-77.6139,72.05,73,100,8.93,PE,1650905659
356,lampazos de naranjo,27.0167,-100.5167,83.8,53,11,3.58,MX,1650905871
357,kayes,14.0,-11.0,103.98,10,0,12.46,ML,1650905872
358,codrington,-38.2667,141.9667,55.44,82,97,7.87,AU,1650905872
359,miguel auza,24.2933,-103.4503,75.2,26,0,7.87,MX,1650905873
360,vila velha,-20.3297,-40.2925,84.15,69,75,13.8,BR,1650905799
361,dakar,14.6937,-17.4441,92.28,65,0,19.57,SN,1650905715
362,havoysund,70.9963,24.6622,34.03,81,71,22.84,NO,1650905873
363,buzmeyin,38.0507,58.2056,76.73,47,75,2.3,TM,1650905874
364,diffa,13.3154,12.6113,100.17,12,86,2.01,NE,1650905874
365,turbat,26.0023,63.044,87.89,44,0,7.27,PK,1650905875
366,chengde,40.9725,117.9361,62.62,57,52,7.7,CN,1650905875
